1460539960830 Device(s) COM5  
1460539960852 Connected COM5  
1460539964070 Repl Initialized  
>> Robot Ready
output: NaN ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 180 ,heading: 7 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 6 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 6 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 6 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 6 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 6 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 6 ,rotateDirection: right ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 160 ,heading: 26 ,rotateDirection: left ,quarter: Q3
