1460540096643 Device(s) COM5  
1460540096669 Connected COM5  
1460540099884 Repl Initialized  
>> Robot Ready
output: NaN ,setpoint: 0 ,input: 179 ,heading: 186 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 186 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 186 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 186 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 179 ,heading: 185 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 173 ,heading: 180 ,rotateDirection: right ,quarter: Q1
